cns5_id,gj_id,component_id,n_components,primary_flag,gj_system_primary,gaia_dr3_id,hip_id,ra,dec,epoch,coordinates_bibcode,parallax,parallax_error,parallax_bibcode,pmra,pmra_error,pmdec,pmdec_error,pm_bibcode,rv,rv_error,rv_bibcode,g_mag,g_mag_error,bp_mag,bp_mag_error,rp_mag,rp_mag_error,g_mag_resulting,g_mag_resulting_error,g_rp_resulting,g_rp_resulting_error,g_rp_resulting_flag,cns6_system_id,reference_object_cns5_id,multiplicity_bibcode,remarks
3671,564.1,A,2,1,,6309703507861332736,72622,222.71990516163248,-16.041610273825267,1991.25,2007A&A...474..653V,43.029998779296875,0.13435028,2007A&A...474..653V,-105.68,0.20000000298023224,-68.4,0.11999999731779099,2007A&A...474..653V,-10.0,5.0,1953GCRV..C......0W,2.722356,0.003284235399760199,3.036216,0.041871603578329086,2.589306,0.017505541443824768,2.7352529,0.08191097527742386,0.14097949340601357,0.13113095742293152,2,4108,,,
3672,12137,--,1,1,,1283125607149311360,,222.79153947058902,31.110378052770027,2016.0,2020yCat.1350....0G,76.67002785463349,0.14955185,2020yCat.1350....0G,-342.55825680573577,0.025541992858052254,-184.96910885320915,0.04325510188937187,2020yCat.1350....0G,-13.5249,0.32686,2023A&A...674A...1G,11.333783,0.0007205346114816854,12.883476,0.0018202576173677683,10.1085,0.0007783712133967296,11.333783,0.0007205346114816854,1.211885378766318,0.0023683748730786015,0,768,,,
3673,566,B,2,0,,1237090738916392832,,222.8466426652314,19.101104107947574,2016.0,2020yCat.1350....0G,148.16721969555422,0.14769197,2020yCat.1350....0G,133.37604517724114,0.0412779375910759,-182.0591844077652,0.04507550224661827,2020yCat.1350....0G,2.31238,0.125212,2023A&A...674A...1G,6.4300914,0.0003057066188722949,7.133002,0.0015755679129993666,5.615121,0.0018371389924414993,6.4300914,0.0003057066188722949,0.812122652203669,0.002747270268106534,0,119,,,
3674,566,A,2,1,,1237090738916392704,72659,222.8480514738455,19.100269640072455,2016.0,2020yCat.1350....0G,148.16721969555422,0.14769197,2020yCat.1350....0G,127.46787577668219,0.12581071257591248,-40.568645496944214,0.12948831915855408,2020yCat.1350....0G,1.59233,0.124338,2023A&A...674A...1G,4.4804826,0.0012796838575291013,4.8695474,0.0025246935908890132,3.9444358,0.002769786477053186,4.4804826,0.0012796838575291013,0.547643497201861,0.003966836883001715,0,119,,,
3675,565,--,1,1,,6229442835525861120,72688,222.91399838621476,-24.30605070904718,2016.0,2020yCat.1350....0G,59.6730212166231,0.037994724,2020yCat.1350....0G,-944.6228532369731,0.02829371578991413,-431.62432004066306,0.029970763251185417,2020yCat.1350....0G,-57.2344,0.122764,2023A&A...674A...1G,7.4894614,0.000203119604277047,8.022768,0.0007034457817370278,6.8016047,0.0005051614779087561,7.4894614,0.000203119604277047,0.6863761460874575,0.0015620576450971894,0,1590,,,
3676,12138,--,1,1,,1620288580060016384,,222.98762775185463,63.13408023573492,2016.0,2020yCat.1350....0G,43.387065991817956,1.9400553,2020yCat.1350....0G,5.686358372945932,0.5829485058784485,246.2403319468906,0.650714099407196,2020yCat.1350....0G,-1.87463,7.42699,2023A&A...674A...1G,13.865344,0.0015187654244566864,15.302482,0.0027582707841044478,12.114532,0.0010353912653247633,13.865344,0.0015187654244566864,1.2964507511062977,0.0032202628449794247,0,4005,,,
3677,12139,--,1,1,,1489294551432850560,,223.06692178226328,41.321589040332356,2016.0,2020yCat.1350....0G,50.50929268319393,0.034080353,2020yCat.1350....0G,-452.34644411907266,0.014148693531751633,-72.73213484313379,0.014703226275742054,2020yCat.1350....0G,-30.7989,0.384084,2023A&A...674A...1G,12.246227,0.0004107158921296622,13.62609,0.001910366288449082,11.091491,0.0006463398214640719,12.246227,0.0004107158921296622,1.1547424488514195,0.0023994279570041127,0,2587,,,
3678,3871,--,1,1,,1181472011945052928,,223.1186156804515,12.391431784969681,2016.0,2020yCat.1350....0G,48.427721664531944,0.029540433,2020yCat.1350....0G,-61.32582191538727,0.020286016166210175,-227.715240154896,0.01882106438279152,2020yCat.1350....0G,5.47008,0.162007,2023A&A...674A...1G,10.567341,0.0005599714274147997,11.809524,0.0019750117304816587,9.458619,0.0008341546186071029,10.567341,0.0005599714274147997,1.1057312916457371,0.00250728643423198,0,2902,,,
3679,567,--,1,1,,1236929488664453376,72848,223.34694623244295,19.153760857444336,2016.0,2020yCat.1350....0G,86.87999725341797,0.46,2007A&A...474..653V,-442.23,0.36000001430511475,217.61,0.4300000071525574,2007A&A...474..653V,-24.1145,1.81648,2023A&A...674A...1G,5.7661414,0.0008863633915661816,6.2012343,0.002825366190026249,5.160305,0.0053815202692244855,5.7661414,0.0008863633915661816,0.6034867563285345,0.0062155815911157835,0,537,,,
3680,1186,--,1,1,,1181168684174651392,,223.40532838229845,11.566848483162069,2016.0,2020yCat.1350....0G,51.38361231248216,0.06296109,2020yCat.1350....0G,84.06425214415543,0.024777838960289955,-741.5516225628544,0.021128617227077484,2020yCat.1350....0G,-9.87523,1.39665,2023A&A...674A...1G,13.726353,0.0006053794396876148,15.605085,0.0028655857288985673,12.43888,0.0016208792679436189,13.726353,0.0006053794396876148,1.2923473560302159,0.0035396089008415286,0,2460,,,
3681,9500,--,1,1,,1265702917689682944,72875,223.41921808592957,23.345233502185685,2016.0,2020yCat.1350....0G,42.451831738058964,0.23210855,2020yCat.1350....0G,-829.0983715384867,0.04087899625301361,0.7539192909495946,0.04963800311088562,2020yCat.1350....0G,-32.9244,0.19836,2023A&A...674A...1G,8.345183,0.0001056106424475829,8.864056,0.00023879827894167534,7.6652384,0.00023815940918728518,8.345183,0.0001056106424475829,0.6762109582909465,0.001343035562526154,0,4274,,,
3682,568,A,2,1,,1266092694561970432,72896,223.46080112078175,23.5562410319204,2016.0,2020yCat.1350....0G,87.41905239263367,0.24455774,2020yCat.1350....0G,-692.0327234108493,0.043396539986133575,90.61029678731741,0.05467122793197632,2020yCat.1350....0G,-36.2,1.5,2002AJ....123.3356G,10.727757,0.0006155442913327255,11.953403,0.003052629266372684,9.17881,0.003247259261649427,10.727757,0.0006155442913327255,1.211813011544196,0.004642546515683285,0,521,,,
3683,568,B,2,0,,1266092694562422912,72896,223.4610677954632,23.556244599185025,2016.0,2020yCat.1350....0G,87.41905239263367,0.24455774,2020yCat.1350....0G,-751.4025134505888,0.12759776413440704,122.8725200372437,0.21918711066246033,2020yCat.1350....0G,-38.1803,0.622957,2023A&A...674A...1G,11.75485,0.005630305886191448,11.950962,0.0015504413587024706,9.258834,0.032723569131200836,11.75485,0.005630305886191448,1.19325633557913,0.03278606175025075,0,521,,,
3684,12140,--,1,1,,5848753805085988352,,223.53849427608563,-66.08142937993206,2016.0,2020yCat.1350....0G,93.98437747042658,1.2911732,2020yCat.1350....0G,480.0,0.5,-356.20001220703125,0.5,2018A&A...616A...1G,,,,18.461712,0.002613222311008688,21.611277,0.09590223665833661,16.662884,0.0040721263501142515,18.461712,0.002613222311008688,1.798828125,0.004838506366436693,1,418,,,
