source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,non_single_star,teff_gspphot,logg_gspphot,lum_flame,radius_flame,spectraltype_esphs,classprob_dsc_combmod_star,best_class_name,best_class_score
1264654395913772416,9.384772,10.264135,8.46292,1.8012152,-69.16576,0.1342277,NOT_AVAILABLE,0,3862.106,4.5705,0.07437906,0.60894346,K,0.99861324,,
1265702917689682944,8.345183,8.864056,7.6652384,1.1988173,-32.924366,0.19835998,NOT_AVAILABLE,0,,,,,K,0.9982583,,
1265976524286377856,5.729347,6.021508,5.2628183,0.7586899,-2.6256073,0.12224039,NOT_AVAILABLE,0,5872.434,4.3026,1.2471467,1.0788667,F,0.9976672,,
1266092694561970432,10.727757,11.953403,9.17881,2.7745934,,,NOT_AVAILABLE,0,,,,,M,0.99914616,,
1266092694562422912,11.75485,11.950962,9.258834,2.6921282,-38.180336,0.622957,NOT_AVAILABLE,0,,,,,,,,
1267906854386665088,20.274647,21.805626,18.523335,3.2822914,,,NOT_AVAILABLE,0,,,,,,0.9999948,,
1269789664970320512,17.550106,21.029821,16.007483,5.022339,,,NOT_AVAILABLE,0,,,,,M,0.9999993,,
1272178319624018816,15.280079,18.462564,13.789723,4.672841,,,NOT_AVAILABLE,0,,,,,M,0.99999875,,
1272616371928341632,12.828906,14.560365,11.534801,3.0255642,-41.087154,1.8616613,NOT_AVAILABLE,0,,,,,M,0.9992449,,
1273685372108354176,16.496569,16.944597,15.88009,1.0645075,,,NOT_AVAILABLE,0,,,,,K,0.99991834,,
1276781047094217216,5.505744,5.138012,4.3995986,0.73841333,,,NOT_AVAILABLE,0,,,,,B,0.99994034,,
1276875089700429952,11.503988,12.752709,10.392663,2.3600464,-18.28579,0.18109131,NOT_AVAILABLE,0,3241.2117,4.2109,0.024776869,0.49961013,M,0.9976672,,
1276940648080594048,13.9536085,15.949313,12.638256,3.311057,-10.184676,0.87173367,NOT_AVAILABLE,0,,,,,M,0.99997675,,
1277731574898670976,14.73493,16.832493,13.399491,3.4330015,-19.977058,3.543663,NOT_AVAILABLE,0,,,,,M,0.99999344,,
1278393790136075904,11.766737,13.017386,10.653209,2.3641777,-21.81481,0.23231636,NOT_AVAILABLE,0,,,,,M,0.99296397,,
1282073374518833152,12.516478,14.09581,11.290261,2.8055487,16.484629,0.30363944,VARIABLE,0,,,,,M,0.99914616,SOLAR_LIKE,0.2653405
1282632682337912832,15.906145,19.220732,14.390061,4.8306704,,,NOT_AVAILABLE,0,,,,,M,0.999998,,
1283125607149311360,11.333783,12.883476,10.1085,2.7749767,-13.524876,0.3268601,NOT_AVAILABLE,0,,,,,M,0.99296397,,
1284257623084916480,4.341964,4.5513854,4.01137,0.5400152,0.7451088,0.12329003,NOT_AVAILABLE,0,,,,,F,1.0004055E-6,,
1284721994948665216,8.020257,8.751454,7.1926694,1.558785,-37.19131,0.124436796,NOT_AVAILABLE,0,4076.1396,4.4953,0.14251737,0.75705016,K,0.9997813,,
1287312100751643776,16.609138,19.813372,15.063754,4.7496176,,,NOT_AVAILABLE,0,,,,,M,0.99999946,,
1287752248996223488,9.014265,9.765208,8.172898,1.59231,-55.340183,0.12960263,NOT_AVAILABLE,0,4152.925,4.6227,0.10956214,0.6714509,K,0.9993886,,
1291045045801887232,21.046724,21.280926,19.28516,1.9957657,,,NOT_AVAILABLE,0,,,,,,0.9993528,,
1291763611011228800,11.112731,12.270829,10.041756,2.2290735,14.716908,0.21749847,NOT_AVAILABLE,0,3511.8604,4.6577,0.031935524,0.54054517,M,1.0000273E-6,,
1292155518186768000,6.9532356,7.253214,6.47467,0.77854395,-41.420666,1.4524934,NOT_AVAILABLE,2,,,,,G,0.9998059,,
1293234723208262144,11.112102,12.625927,9.90513,2.7207966,-40.760727,0.18485625,NOT_AVAILABLE,0,,,,,M,0.99648726,,
