source_id,ra,dec,ra_error,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_rp_excess_factor,ruwe,ipd_frac_multi_peak,adoptedrv,adoptedrv_error,adoptedrv_refname,radial_velocity_is_valid,gcns_prob,wd_prob,dist_1,dist_16,dist_50,dist_84,xcoord_16,xcoord_50,xcoord_84,ycoord_16,ycoord_50,ycoord_84,zcoord_16,zcoord_50,zcoord_84
3100542495921276160,100.05875121900114,-5.875749795160788,0.014641335,0.015329214,84.7969,0.016994588,107.26515,0.017045883,-582.5984,0.017141106,9.310769,10.482492,8.232768,1.3825667,0.991245,0,47.447853,0.5467149,2018A&A...616A...1G,1,1.0,0.16097546,0.011786823,0.011790389,0.011792725,0.011795154,-9.3902,-9.39206,-9.393994,-7.0507417,-7.0521383,-7.0535913,-1.0604076,-1.0606177,-1.0608361
3101920046552857728,103.07260095888746,-5.19006973623282,0.018402696,0.019074433,114.2911,0.02192843,-576.33105,0.02290138,-13.043765,0.020435125,9.097528,10.325742,7.9958577,1.39511,1.1511182,0,-8.270993,0.3634224,2018A&A...616A...1G,1,1.0,0.15545367,0.008745548,0.008747867,0.008749663,0.008751387,-6.9211745,-6.922595,-6.923959,-5.3396916,-5.3407874,-5.3418393,-0.33199388,-0.332062,-0.33212742
3101923001490347392,103.07278431613713,-5.17372829320013,0.023346359,0.03405499,114.35472,0.04184089,-543.69037,0.028971028,-3.5153136,0.026677793,6.231057,6.795033,5.518121,1.2430818,1.2655232,0,-7.203856,0.14990102,2018A&A...616A...1G,1,1.0,0.1543623,0.00873722,0.008741818,0.008744999,0.00874813,-6.917772,-6.920289,-6.922767,-5.3342776,-5.3362184,-5.338129,-0.33060652,-0.3307268,-0.33084524
3104733181410232576,98.87393995438822,-4.0547741963145425,0.24364598,0.28157455,79.16386,0.30849776,-98.46508,0.28396666,71.793335,0.26072899,12.687793,14.826764,11.324763,1.5782765,8.991086,6,41.517,8.722,2015ApJS..220...16T,0,1.0,0.053006254,0.012518824,0.012582389,0.012630012,0.0126789035,-10.294483,-10.3334465,-10.373448,-7.137425,-7.1644397,-7.1921735,-1.1820675,-1.1865414,-1.1911347
3106548406384807680,100.90303359272531,-2.3879694818849884,1.0108799,0.8730428,71.30263,1.1797113,22.234875,1.2063345,-217.96579,1.0938655,20.635307,21.423615,18.898163,2.4356945,1.0412691,0,,,,0,0.944,0.1457672,0.0135047175,0.013821617,0.014055548,0.014285867,-11.422124,-11.615444,-11.8057785,-7.752857,-7.8840747,-8.013266,-0.6821878,-0.6937339,-0.7051016
3136952686035250688,116.1658359308822,3.5504844454883244,0.030245641,0.02334776,166.9769,0.034340866,-347.78162,0.04000208,-445.70178,0.02487343,9.692206,11.416927,8.419889,1.506855,1.3503697,5,26.495,0.0052,2018A&A...616A...7S,0,1.0,0.1004798,0.005985794,0.0059876824,0.005988868,0.005990107,-4.7196994,-4.720634,-4.7216105,-3.4111128,-3.4117882,-3.4124942,1.3932295,1.3935053,1.3937937
3139847906307949696,111.85462844259372,5.209382701706996,0.038775597,0.034069158,264.1269,0.04127979,571.23236,0.04458072,-3691.4866,0.03559047,8.576388,10.111705,7.3539467,1.4740787,1.2387705,0,18.22,0.1,2002ApJS..141..503N,0,1.0,0.18743686,0.003730733,0.003730733,0.003758571,0.003786284,-3.0998764,-3.1230073,-3.146034,-1.964254,-1.978911,-1.993502,0.671446,0.6764563,0.6814439
3171631420210205056,68.81802669744249,-16.114491965535613,0.14249736,0.13033684,94.305405,0.20985138,160.08322,0.17161411,315.13956,0.16831104,14.606592,17.92072,13.099297,1.7213205,5.617265,1,48.5,1.4,2012AJ....144...99D,0,1.0,0.046944443,0.010549131,0.01057851,0.01060232,0.010626637,-7.0578017,-7.0736876,-7.089912,-4.594112,-4.6044526,-4.6150136,-6.4020653,-6.416475,-6.431192
3184351876391975808,69.42341319622317,-11.03975218734874,0.01295564,0.009621845,89.18973,0.019916328,-226.92285,0.013824763,-195.98697,0.010792182,9.408144,10.578187,8.330691,1.3823758,1.1386429,0,-7.1275945,0.22724405,2018A&A...616A...1G,1,1.0,0.14375213,0.01120631,0.01120964,0.011212061,0.0112145385,-8.170286,-8.17205,-8.173857,-4.274666,-4.275589,-4.2765336,-6.374142,-6.375519,-6.3769274
3186021141200137472,69.44860243520402,-8.826516218606763,0.012068768,0.008185626,106.33899,0.015222114,238.38098,0.016594725,-1552.408,0.01598522,13.600672,13.80703,13.237787,1.1876738,0.9962089,0,,,,0,1.0,0.77757597,0.009401055,0.009402913,0.0094045205,0.009574152,-7.080005,-7.081216,-7.208941,-3.3361967,-3.3367672,-3.396953,-5.2113423,-5.2122335,-5.3062477
